Namespace                                                RegistrationPolicy    RegistrationState    ProviderAuthorizationConsentState
-------------------------------------------------------  --------------------  -------------------  -----------------------------------
Microsoft.Capacity                                       RegistrationRequired  NotRegistered
Microsoft.CapacityAllocation                             RegistrationRequired  NotRegistered
Microsoft.Carbon                                         RegistrationRequired  NotRegistered
Microsoft.CertificateRegistration                        RegistrationRequired  NotRegistered
Microsoft.ChangeAnalysis                                 RegistrationRequired  NotRegistered
Microsoft.Chaos                                          RegistrationRequired  NotRegistered
Microsoft.ClassicCompute                                 RegistrationRequired  NotRegistered
Microsoft.ClassicInfrastructureMigrate                   RegistrationRequired  NotRegistered
Microsoft.ClassicNetwork                                 RegistrationRequired  NotRegistered
Microsoft.ClassicStorage                                 RegistrationRequired  NotRegistered
Microsoft.ClassicSubscription                            RegistrationFree      Registered
Microsoft.CleanRoom                                      RegistrationRequired  NotRegistered
Microsoft.CloudDevicePlatform                            RegistrationRequired  NotRegistered
Microsoft.CloudHealth                                    RegistrationRequired  NotRegistered
Microsoft.CloudTest                                      RegistrationRequired  NotRegistered
Microsoft.CodeSigning                                    RegistrationRequired  NotRegistered
Microsoft.Commerce                                       RegistrationFree      Registered
Microsoft.Communication                                  RegistrationRequired  NotRegistered
Microsoft.Community                                      RegistrationRequired  NotRegistered
Microsoft.ComputeSchedule                                RegistrationRequired  NotRegistered
Microsoft.ConfidentialLedger                             RegistrationRequired  NotRegistered
Microsoft.Confluent                                      RegistrationRequired  NotRegistered
Microsoft.ConnectedCache                                 RegistrationRequired  NotRegistered
Microsoft.ConnectedCredentials                           RegistrationRequired  NotRegistered
microsoft.connectedopenstack                             RegistrationRequired  NotRegistered
Microsoft.ConnectedVehicle                               RegistrationRequired  NotRegistered
Microsoft.ConnectedVMwarevSphere                         RegistrationRequired  NotRegistered
Microsoft.Consumption                                    RegistrationFree      Registered
Microsoft.CostManagement                                 RegistrationFree      Registered
Microsoft.CostManagementExports                          RegistrationRequired  NotRegistered
Microsoft.CustomerLockbox                                RegistrationRequired  NotRegistered
Microsoft.D365CustomerInsights                           RegistrationRequired  NotRegistered
Microsoft.Dashboard                                      RegistrationRequired  NotRegistered
Microsoft.DatabaseFleetManager                           RegistrationRequired  NotRegistered
Microsoft.DatabaseWatcher                                RegistrationRequired  NotRegistered
Microsoft.DataBox                                        RegistrationRequired  NotRegistered
Microsoft.DataBoxEdge                                    RegistrationRequired  NotRegistered
Microsoft.Datadog                                        RegistrationRequired  NotRegistered
Microsoft.DataReplication                                RegistrationRequired  NotRegistered
Microsoft.DataShare                                      RegistrationRequired  NotRegistered
Microsoft.DelegatedNetwork                               RegistrationRequired  NotRegistered
Microsoft.DependencyMap                                  RegistrationRequired  NotRegistered
Microsoft.DevCenter                                      RegistrationRequired  NotRegistered
Microsoft.DevelopmentWindows365                          RegistrationRequired  NotRegistered
Microsoft.DevHub                                         RegistrationRequired  NotRegistered
Microsoft.DeviceOnboarding                               RegistrationRequired  NotRegistered
Microsoft.DeviceRegistry                                 RegistrationRequired  NotRegistered
Microsoft.DeviceUpdate                                   RegistrationRequired  NotRegistered
Microsoft.DevOpsInfrastructure                           RegistrationRequired  NotRegistered
Microsoft.DigitalTwins                                   RegistrationRequired  NotRegistered
Microsoft.DomainRegistration                             RegistrationRequired  NotRegistered
Microsoft.DurableTask                                    RegistrationRequired  NotRegistered
Microsoft.Easm                                           RegistrationRequired  NotRegistered
Microsoft.Edge                                           RegistrationRequired  NotRegistered
Microsoft.EdgeManagement                                 RegistrationRequired  NotRegistered
Microsoft.EdgeMarketplace                                RegistrationRequired  NotRegistered
Microsoft.EdgeOrder                                      RegistrationRequired  NotRegistered
Microsoft.EdgeOrderPartner                               RegistrationRequired  NotRegistered
Microsoft.EdgeZones                                      RegistrationRequired  NotRegistered
Microsoft.Elastic                                        RegistrationRequired  NotRegistered
Microsoft.ElasticSan                                     RegistrationRequired  NotRegistered
Microsoft.EnterpriseSupport                              RegistrationRequired  NotRegistered
Microsoft.EntitlementManagement                          RegistrationRequired  NotRegistered
Microsoft.EntraIDGovernance                              RegistrationRequired  NotRegistered
Microsoft.Experimentation                                RegistrationRequired  NotRegistered
Microsoft.ExtendedLocation                               RegistrationRequired  NotRegistered
Microsoft.Fabric                                         RegistrationRequired  NotRegistered
Microsoft.Falcon                                         RegistrationRequired  NotRegistered
Microsoft.Features                                       RegistrationFree      Registered
Microsoft.FluidRelay                                     RegistrationRequired  NotRegistered
Microsoft.GraphServices                                  RegistrationRequired  NotRegistered
Microsoft.HanaOnAzure                                    RegistrationRequired  NotRegistered
Microsoft.HardwareSecurityModules                        RegistrationRequired  NotRegistered
Microsoft.HealthBot                                      RegistrationRequired  NotRegistered
Microsoft.HealthDataAIServices                           RegistrationRequired  NotRegistered
Microsoft.HealthModel                                    RegistrationRequired  NotRegistered
Microsoft.Help                                           RegistrationRequired  NotRegistered
Microsoft.HybridCloud                                    RegistrationRequired  NotRegistered
Microsoft.HybridCompute                                  RegistrationRequired  NotRegistered
Microsoft.HybridConnectivity                             RegistrationRequired  NotRegistered
Microsoft.HybridContainerService                         RegistrationRequired  NotRegistered
Microsoft.HybridNetwork                                  RegistrationRequired  NotRegistered
Microsoft.Impact                                         RegistrationRequired  NotRegistered
Microsoft.IntegrationSpaces                              RegistrationRequired  NotRegistered
Microsoft.IoTCentral                                     RegistrationRequired  NotRegistered
Microsoft.IoTFirmwareDefense                             RegistrationRequired  NotRegistered
Microsoft.IoTOperations                                  RegistrationRequired  NotRegistered
Microsoft.IoTOperationsDataProcessor                     RegistrationRequired  NotRegistered
Microsoft.IoTOperationsMQ                                RegistrationRequired  NotRegistered
Microsoft.IoTOperationsOrchestrator                      RegistrationRequired  NotRegistered
Microsoft.IoTSecurity                                    RegistrationRequired  NotRegistered
Microsoft.Kubernetes                                     RegistrationRequired  NotRegistered
Microsoft.KubernetesConfiguration                        RegistrationRequired  NotRegistered
Microsoft.KubernetesRuntime                              RegistrationRequired  NotRegistered
Microsoft.LabServices                                    RegistrationRequired  NotRegistered
Microsoft.LoadTestService                                RegistrationRequired  NotRegistered
Microsoft.ManagedNetworkFabric                           RegistrationRequired  NotRegistered
Microsoft.ManufacturingPlatform                          RegistrationRequired  NotRegistered
Microsoft.Marketplace                                    RegistrationRequired  NotRegistered
Microsoft.MarketplaceNotifications                       RegistrationRequired  NotRegistered
Microsoft.MarketplaceOrdering                            RegistrationFree      Registered
Microsoft.MessagingCatalog                               RegistrationRequired  NotRegistered
Microsoft.MessagingConnectors                            RegistrationRequired  NotRegistered
Microsoft.Migrate                                        RegistrationRequired  NotRegistered
Microsoft.Mission                                        RegistrationRequired  NotRegistered
Microsoft.MobileNetwork                                  RegistrationRequired  NotRegistered
Microsoft.Monitor                                        RegistrationRequired  NotRegistered
Microsoft.MySQLDiscovery                                 RegistrationRequired  NotRegistered
Microsoft.NetApp                                         RegistrationRequired  NotRegistered
Microsoft.NetworkCloud                                   RegistrationRequired  NotRegistered
Microsoft.NetworkFunction                                RegistrationRequired  NotRegistered
Microsoft.NexusIdentity                                  RegistrationRequired  NotRegistered
Microsoft.Nutanix                                        RegistrationRequired  NotRegistered
Microsoft.ObjectStore                                    RegistrationRequired  NotRegistered
Microsoft.OffAzure                                       RegistrationRequired  NotRegistered
Microsoft.OffAzureSpringBoot                             RegistrationRequired  NotRegistered
Microsoft.OnlineExperimentation                          RegistrationRequired  NotRegistered
Microsoft.OpenEnergyPlatform                             RegistrationRequired  NotRegistered
Microsoft.OperatorVoicemail                              RegistrationRequired  NotRegistered
Microsoft.OracleDiscovery                                RegistrationRequired  NotRegistered
Microsoft.Orbital                                        RegistrationRequired  NotRegistered
Microsoft.PartnerManagedConsumerRecurrence               RegistrationRequired  NotRegistered
Microsoft.Peering                                        RegistrationRequired  NotRegistered
Microsoft.Pki                                            RegistrationRequired  NotRegistered
Microsoft.Portal                                         RegistrationFree      Registered
Microsoft.PowerBI                                        RegistrationRequired  NotRegistered
Microsoft.PowerPlatform                                  RegistrationRequired  NotRegistered
Microsoft.ProfessionalService                            RegistrationRequired  NotRegistered
Microsoft.ProgrammableConnectivity                       RegistrationRequired  NotRegistered
Microsoft.ProviderHub                                    RegistrationRequired  NotRegistered
Microsoft.Purview                                        RegistrationRequired  NotRegistered
Microsoft.Quantum                                        RegistrationRequired  NotRegistered
Microsoft.Quota                                          RegistrationRequired  NotRegistered
Microsoft.RecommendationsService                         RegistrationRequired  NotRegistered
Microsoft.RedHatOpenShift                                RegistrationRequired  NotRegistered
Microsoft.Relationships                                  RegistrationRequired  NotRegistered
Microsoft.ResourceConnector                              RegistrationRequired  NotRegistered
Microsoft.ResourceGraph                                  RegistrationFree      Registered
Microsoft.ResourceHealth                                 RegistrationRequired  NotRegistered
Microsoft.ResourceNotifications                          RegistrationFree      Registered
Microsoft.Resources                                      RegistrationFree      Registered
Microsoft.SaaS                                           RegistrationRequired  NotRegistered
Microsoft.SaaSHub                                        RegistrationRequired  NotRegistered
Microsoft.Scom                                           RegistrationRequired  NotRegistered
Microsoft.ScVmm                                          RegistrationRequired  NotRegistered
Microsoft.SecretSyncController                           RegistrationRequired  NotRegistered
Microsoft.SecurityCopilot                                RegistrationRequired  NotRegistered
Microsoft.SecurityDetonation                             RegistrationRequired  NotRegistered
Microsoft.SecurityPlatform                               RegistrationRequired  NotRegistered
Microsoft.SerialConsole                                  RegistrationFree      Registered
Microsoft.ServiceFabricMesh                              RegistrationRequired  NotRegistered
